CONTROLLED 1344 single:Wright:Kurchin {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 224} 35.2s
CONTROLLED 1376 single:Wright:Muno {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 96} 35.5s
CONTROLLED 1408 single:Wright:Dotra {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 96} 36.3s
CONTROLLED 1440 single:Wright:Sooge {'battles': 32, 'wins': 16, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 118} 37.0s
CONTROLLED 1472 single:Wright:Sinodek {'battles': 32, 'wins': 22, 'losses': 10, 'draws': 0, 'round_cap': 0, 'phases': 148} 37.9s
CONTROLLED 1504 single:Lemek:Varn {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 64} 39.1s
CONTROLLED 1536 single:Lemek:Fyra {'battles': 32, 'wins': 22, 'losses': 10, 'draws': 0, 'round_cap': 0, 'phases': 64} 39.1s
CONTROLLED 1568 single:Lemek:Kopita {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 64} 39.4s
CONTROLLED 1600 single:Lemek:Tumler {'battles': 32, 'wins': 8, 'losses': 14, 'draws': 10, 'round_cap': 0, 'phases': 64} 40.0s
CONTROLLED 1632 single:Lemek:Kurchin {'battles': 32, 'wins': 28, 'losses': 4, 'draws': 0, 'round_cap': 0, 'phases': 122} 41.0s
CONTROLLED 1664 single:Lemek:Muno {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 64} 41.3s
CONTROLLED 1696 single:Lemek:Dotra {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 41.8s
CONTROLLED 1728 single:Lemek:Sooge {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 70} 42.2s
CONTROLLED 1760 single:Lemek:Sinodek {'battles': 32, 'wins': 24, 'losses': 8, 'draws': 0, 'round_cap': 0, 'phases': 64} 42.6s
CONTROLLED 1792 single:Varn:Fyra {'battles': 32, 'wins': 22, 'losses': 10, 'draws': 0, 'round_cap': 0, 'phases': 68} 43.7s
CONTROLLED 1824 single:Varn:Kopita {'battles': 32, 'wins': 20, 'losses': 6, 'draws': 6, 'round_cap': 0, 'phases': 76} 45.1s
CONTROLLED 1856 single:Varn:Tumler {'battles': 32, 'wins': 8, 'losses': 24, 'draws': 0, 'round_cap': 0, 'phases': 82} 46.5s
CONTROLLED 1888 single:Varn:Kurchin {'battles': 32, 'wins': 22, 'losses': 10, 'draws': 0, 'round_cap': 0, 'phases': 138} 48.9s
CONTROLLED 1920 single:Varn:Muno {'battles': 32, 'wins': 20, 'losses': 12, 'draws': 0, 'round_cap': 0, 'phases': 64} 50.1s
CONTROLLED 1952 single:Varn:Dotra {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 84} 51.7s
CONTROLLED 1984 single:Varn:Sooge {'battles': 32, 'wins': 28, 'losses': 4, 'draws': 0, 'round_cap': 0, 'phases': 86} 52.7s
CONTROLLED 2016 single:Varn:Sinodek {'battles': 32, 'wins': 22, 'losses': 10, 'draws': 0, 'round_cap': 0, 'phases': 90} 54.1s
