batch,mode,variant,unit,battles,summons,bodies,hp_damage,structure_damage,friendly_damage,armor_damage,hp_taken,armor_absorbed,blocked_damage,evaded_damage,attacks,landed_hits,melee_hits,kills,regular_kills,monster_kills,deaths,banished,goals,survivors,healing,regeneration,charms,poisons,portals,enemy_banishments,friendly_banishments,structures_built,tower_damage,retargets,first_hit_tick,hit_bodies,mean_first_hit_tick
hunt,hunt,direct_hunt_armor3,Tumler,384,384,1.0,3.224,0.0,0.0,1.4427,3.4219,3.9219,0.0,2.4375,2.3516,2.3516,2.3516,0.3828,0.3828,0.0,0.6641,0.0,0.3359,0.0,0.0,0.0938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,43.651,1.0,43.65
tumler,duel,direct_hunt,Tumler,192,192,1.0,4.5,1.5,0.0,2.25,3.5104,1.0,0.0,0.2396,4.25,4.25,4.25,0.75,0.75,0.0,0.25,0.0,0.75,0.0,0.0,0.6927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.276,1.0,242.28
tumler,duel,direct_hunt_armor3,Tumler,192,192,1.0,5.0,1.5,0.0,2.25,1.3177,3.9427,0.0,0.2396,4.5,4.5,4.5,1.0,1.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.276,1.0,242.28
tumler,mixed,direct_hunt,Butcher,96,192,1.0,5.0885,0.2292,0.0,1.1771,5.0417,0.9896,0.0,0.0,2.6771,2.599,2.599,1.2292,0.625,0.6042,0.9688,0.0104,0.0208,0.0,0.0,0.1771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.1458,0.9896,278.04
tumler,mixed,direct_hunt,Dotra,38,38,1.0,6.6842,1.0263,0.0,2.4211,4.0789,1.7895,0.0,0.0,4.9737,4.8947,4.4474,1.2105,0.8947,0.3158,0.6842,0.0,0.3158,0.0,0.0,0.5263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.3158,0.9737,319.73
tumler,mixed,direct_hunt,Fyra,38,38,1.0,3.3158,0.0,0.0,2.5526,5.1053,1.0,0.0,0.0,3.1053,2.9474,2.9474,0.4211,0.0526,0.3684,1.0,0.0,0.0,0.0,0.0,0.1053,0.4474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.5,1.0,194.5
tumler,mixed,direct_hunt,Kopita,38,38,1.0,3.3158,0.5,0.0,1.0789,5.5263,1.0,0.0,0.0,2.7105,2.6842,2.5789,0.7105,0.5263,0.1842,0.8684,0.0,0.1316,0.0,1.0263,0.6053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.5,0.9211,475.0
tumler,mixed,direct_hunt,Kurchin,40,40,1.0,3.45,0.225,0.0,0.775,5.025,6.0,0.0,0.0,4.475,4.45,4.45,0.825,0.525,0.3,0.85,0.0,0.15,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.175,0.975,462.74
tumler,mixed,direct_hunt,Lemek,40,40,1.0,8.1,0.375,0.0,3.775,4.975,4.0,0.0,0.0,4.775,4.7,4.7,1.65,1.2,0.45,0.9,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.925,1.0,262.93
tumler,mixed,direct_hunt,Muno,38,38,1.0,7.5263,0.0,0.0,1.1316,5.0789,1.0,0.0,0.0,4.1053,3.6842,2.6053,2.2632,0.2632,2.0,1.0,0.0,0.0,0.0,0.0,0.0789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,1.0,213.0
tumler,mixed,direct_hunt,Penitent,96,192,1.0,3.2708,0.1562,0.0,1.1354,4.6615,2.7135,1.2969,0.0,4.5781,4.5625,4.5625,0.6562,0.3906,0.2656,0.8438,0.0417,0.1146,0.0,0.0,0.3802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.151,0.9062,385.27
tumler,mixed,direct_hunt,Sinodek,38,38,1.0,3.0,0.6053,0.0,0.5,3.8421,2.5526,0.0,0.0,4.1316,4.1053,4.1053,0.6842,0.6316,0.0526,0.6316,0.0263,0.3421,0.0,0.0,0.6316,0.0,0.0,1.0,0.1053,0.2632,0.0,0.0,0.0,541.9211,0.8947,605.68
tumler,mixed,direct_hunt,Sooge,38,38,1.0,7.9474,3.2368,1.5,4.9211,2.0,1.6316,0.0,0.0,10.0526,9.5526,0.6579,0.9737,0.6579,0.3158,0.3947,0.0,0.0,0.6053,0.0,0.0263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.9737,266.0
tumler,mixed,direct_hunt,Tumler,38,38,1.0,2.2105,0.0526,0.0,0.9737,5.2895,1.0,0.0,2.5263,1.6579,1.6579,1.6579,0.1842,0.0263,0.1579,1.0,0.0,0.0,0.0,0.0,0.2895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,208.0789,0.9211,225.91
tumler,mixed,direct_hunt,Varn,38,38,4.1842,3.6053,0.0263,0.0,1.5,8.6053,0.0,0.0,0.0,5.1579,5.1316,5.1316,0.6053,0.3947,0.2105,4.1842,0.0,0.0,0.0,0.0,0.2368,0.0,0.2895,0.0,0.0,0.0,0.0,0.0,0.0,1040.6316,3.5263,295.1
